employee_id,first_name,last_name,email,phone_number,job_title,department,salary,hire_date,gender,date_of_birth,street,city,country,manager_id,performance_rating
1,Tobit,Mcmanaman,tmcmanaman0@altervista.org,952-753-4099,Assistant Media Planner,Support,141677.89,4/13/2013,Male,"error: invalid date ""31/12/2010""",2860 Namekagon Way,Siedlce,Poland,1,1
2,Timothee,Camois,tcamois1@vk.com,104-591-9158,Assistant Manager,Training,98831.65,2/21/2016,Genderfluid,"error: invalid date ""31/12/2010""",3369 Golden Leaf Parkway,Maria Aurora,Philippines,2,3
3,Shena,Eastgate,seastgate2@angelfire.com,710-111-5493,Office Assistant IV,Training,30695.44,11/14/2017,Female,"error: invalid date ""31/12/2010""",617 Arrowood Terrace,Razgrad,Bulgaria,3,2
4,Helenka,Bristow,hbristow3@privacy.gov.au,275-897-4402,Occupational Therapist,Sales,75642.47,1/7/2022,Female,"error: invalid date ""31/12/2010""",7 Manufacturers Lane,Sayyān,Yemen,4,1
5,Dorthy,Dabbes,ddabbes4@mozilla.org,116-112-9205,Mechanical Systems Engineer,Engineering,143466.88,9/24/2015,Female,"error: invalid date ""31/12/2010""",1 Dwight Center,Wonosari,Indonesia,5,5
6,Granville,Jeness,gjeness5@bbb.org,213-160-2926,Cost Accountant,Sales,56797.26,1/18/2019,Polygender,"error: invalid date ""31/12/2010""",81871 Forest Place,Linhares,Brazil,6,5
7,Randi,Bamb,rbamb6@tmall.com,837-843-1276,Geological Engineer,Services,140617.25,11/7/2020,Female,"error: invalid date ""31/12/2010""",1010 Fairview Point,Santana do Paraíso,Brazil,7,4
8,Hildegaard,Beed,hbeed7@feedburner.com,159-885-1709,Software Engineer IV,Research and Development,77996.76,6/30/2010,Female,"error: invalid date ""31/12/2010""",7031 Lighthouse Bay Avenue,Tacheng,China,8,1
9,Yolanthe,Larkins,ylarkins8@fda.gov,979-813-8215,Assistant Professor,Human Resources,58442.96,7/5/2022,Female,"error: invalid date ""31/12/2010""",5730 Rowland Drive,Wierzawice,Poland,9,1
10,Berte,Lyston,blyston9@yellowbook.com,677-922-5111,Marketing Assistant,Marketing,79725.29,3/31/2014,Female,"error: invalid date ""31/12/2010""",3458 Troy Center,Almelo,Netherlands,10,5
11,Lilla,Towriss,ltowrissa@archive.org,417-429-5188,Technical Writer,Accounting,131900.58,2/6/2013,Female,"error: invalid date ""31/12/2010""",81 Holmberg Avenue,Wonosari,Indonesia,11,3
12,Freddy,Leppington,fleppingtonb@yale.edu,269-935-3944,Accountant I,Human Resources,66920.99,8/19/2015,Male,"error: invalid date ""31/12/2010""",78708 Scott Circle,Da’an,China,12,3
13,Nathalie,McQuorkell,nmcquorkellc@wix.com,986-488-3404,General Manager,Support,139541.72,6/8/2022,Female,"error: invalid date ""31/12/2010""",78506 Buhler Center,Cibodas,Indonesia,13,3
14,Nonah,Loseke,nloseked@mozilla.com,890-628-8347,Librarian,Human Resources,47230.17,10/3/2021,Genderqueer,"error: invalid date ""31/12/2010""",29390 International Alley,Keroka,Kenya,14,2
15,Aleen,Tomet,atomete@hao123.com,918-828-9945,Community Outreach Specialist,Sales,94292.14,5/25/2012,Female,"error: invalid date ""31/12/2010""",6680 Schlimgen Drive,Ḩājjīābād,Iran,15,2
16,Hope,Blinman,hblinmanf@harvard.edu,916-203-4732,Human Resources Assistant II,Engineering,42696.15,8/28/2017,Female,"error: invalid date ""31/12/2010""",1 Harper Avenue,Koilás,Greece,16,4
17,Hollyanne,Morbey,hmorbeyg@si.edu,576-228-1968,Senior Cost Accountant,Sales,131520.47,6/26/2020,Female,"error: invalid date ""31/12/2010""",868 Anderson Hill,Shi’an,China,17,5
18,Randy,Gianasi,rgianasih@sohu.com,516-469-5858,Assistant Professor,Legal,86056.85,2/11/2019,Male,"error: invalid date ""31/12/2010""",79 Sage Avenue,Hicksville,United States,18,3
19,Fern,Towersey,ftowerseyi@mozilla.org,390-808-1757,Product Engineer,Services,46640.93,1/8/2011,Female,"error: invalid date ""31/12/2010""",342 Stone Corner Pass,Buchou,China,19,3
20,Tootsie,Rodmell,trodmellj@cbsnews.com,656-121-5753,Environmental Specialist,Sales,148757.21,3/24/2020,Female,"error: invalid date ""31/12/2010""",4133 Becker Center,Banjar Banyualit,Indonesia,20,5
21,Linette,Cassie,lcassiek@youtube.com,867-111-8851,Senior Sales Associate,Sales,105220.39,8/23/2016,Female,"error: invalid date ""31/12/2010""",33809 Mcbride Point,Hushan,China,21,3
22,Jillene,Schutte,jschuttel@home.pl,101-935-1318,Desktop Support Technician,Accounting,54300.05,11/7/2012,Female,"error: invalid date ""31/12/2010""",15133 New Castle Point,Hongqi,China,22,2
23,Elwood,Sammon,esammonm@wordpress.org,778-520-1187,Physical Therapy Assistant,Product Management,79067.79,8/15/2016,Male,"error: invalid date ""31/12/2010""",308 Graedel Place,Assis,Brazil,23,3
24,Muhammad,Iacovaccio,miacovaccion@icq.com,737-887-8668,Operator,Product Management,120782.71,5/9/2021,Male,"error: invalid date ""31/12/2010""",12 Roth Center,Bus’k,Ukraine,24,4
25,Fowler,Woodroof,fwoodroofo@ucsd.edu,606-656-1362,Staff Scientist,Human Resources,77509.65,9/9/2016,Male,"error: invalid date ""31/12/2010""",4 Colorado Junction,Burgos,Philippines,25,1
26,Israel,Bratcher,ibratcherp@purevolume.com,868-737-0705,Help Desk Technician,Services,134801.96,4/2/2016,Male,"error: invalid date ""31/12/2010""",57281 Gulseth Alley,Oslo,Norway,26,5
27,Row,Dunguy,rdunguyq@fema.gov,223-542-1087,Software Engineer III,Research and Development,117799.31,8/13/2013,Female,"error: invalid date ""31/12/2010""",784 Kipling Place,Újezd,Czech Republic,27,5
28,Sharia,Scyone,sscyoner@github.com,667-737-7803,Senior Financial Analyst,Marketing,112840.1,1/11/2019,Female,"error: invalid date ""31/12/2010""",5 School Hill,Baimangpu,China,28,2
29,Vinni,Vicar,vvicars@comcast.net,865-730-0280,Help Desk Operator,Accounting,63778.3,5/5/2013,Female,"error: invalid date ""31/12/2010""",97 Ilene Point,Jiekou,China,29,4
30,Veronike,Vick,vvickt@accuweather.com,371-106-7866,GIS Technical Architect,Human Resources,52164.93,12/28/2015,Female,"error: invalid date ""31/12/2010""",14799 Manitowish Court,Kratovo,Russia,30,1
31,Antin,Hill,ahillu@smh.com.au,425-900-0448,Environmental Tech,Marketing,109862.69,8/6/2015,Male,"error: invalid date ""31/12/2010""",48 Debs Place,Jasugih Selatan,Indonesia,31,4
32,Heather,Barts,hbartsv@simplemachines.org,353-350-4411,Accountant I,Marketing,83843.14,4/30/2017,Female,"error: invalid date ""31/12/2010""",93397 Hudson Avenue,Anolaima,Colombia,32,2
33,Cyrille,Davidek,cdavidekw@chronoengine.com,843-975-2352,Assistant Media Planner,Accounting,104570.36,1/27/2012,Male,"error: invalid date ""31/12/2010""",812 Messerschmidt Avenue,Mlanggeng,Indonesia,33,5
34,Marthe,Tinniswood,mtinniswoodx@bravesites.com,389-468-6615,Mechanical Systems Engineer,Human Resources,87970.45,1/17/2015,Female,"error: invalid date ""31/12/2010""",470 Tennessee Junction,Bagacay,Philippines,34,4
35,Deck,Soper,dsopery@vk.com,477-153-2348,Administrative Officer,Engineering,67849.61,12/12/2014,Male,"error: invalid date ""31/12/2010""",8 La Follette Road,København,Denmark,35,2
36,Cynthea,Dunnico,cdunnicoz@pen.io,400-452-3701,Social Worker,Legal,43049.06,9/13/2015,Female,"error: invalid date ""31/12/2010""",409 Parkside Park,Smyga,Ukraine,36,3
37,Letitia,McNeely,lmcneely10@sfgate.com,448-564-6656,Senior Developer,Marketing,94532.28,12/22/2022,Female,"error: invalid date ""31/12/2010""",7711 Onsgard Court,Vale de São Cosme,Portugal,37,5
38,Umberto,Espinel,uespinel11@wikia.com,247-163-4520,Senior Sales Associate,Engineering,115587.35,10/4/2022,Male,"error: invalid date ""31/12/2010""",5138 Arizona Pass,Xinglong,China,38,5
39,Beryl,Llorens,bllorens12@ask.com,130-427-8261,Food Chemist,Engineering,64607.05,9/5/2020,Female,"error: invalid date ""31/12/2010""",644 Northport Way,Affery,Ivory Coast,39,2
40,Arte,Struis,astruis13@berkeley.edu,647-300-7188,Analog Circuit Design manager,Services,34713.29,2/26/2011,Male,"error: invalid date ""31/12/2010""",198 Schiller Junction,Huya,China,40,5
41,Monah,Sexty,msexty14@bing.com,606-155-6412,Teacher,Services,98614.95,10/30/2014,Female,"error: invalid date ""31/12/2010""",78626 Grover Drive,Navashino,Russia,41,5
42,Neal,Di Ruggiero,ndiruggiero15@feedburner.com,217-255-0866,Assistant Professor,Product Management,105173.2,2/28/2011,Genderqueer,"error: invalid date ""31/12/2010""",0005 Crescent Oaks Road,Lidingö,Sweden,42,3
43,Danila,Haysman,dhaysman16@com.com,810-996-2031,Internal Auditor,Training,66950.45,4/8/2010,Genderqueer,"error: invalid date ""31/12/2010""",04 Muir Court,Kalinovo,Russia,43,3
44,Nico,Kuhnwald,nkuhnwald17@typepad.com,135-222-8762,Senior Developer,Training,49141.47,9/6/2011,Male,"error: invalid date ""31/12/2010""",8 Eagle Crest Junction,Candelária,Brazil,44,2
45,Ollie,Delbergue,odelbergue18@gizmodo.com,973-949-5299,Senior Developer,Support,89147.01,4/22/2017,Male,"error: invalid date ""31/12/2010""",123 Towne Pass,Malitubog,Philippines,45,2
46,Abigale,McLaughlan,amclaughlan19@infoseek.co.jp,753-811-2079,VP Quality Control,Marketing,91265.54,3/20/2015,Female,"error: invalid date ""31/12/2010""",5 Meadow Valley Junction,Garça,Brazil,46,5
47,Tomkin,Lassell,tlassell1a@cyberchimps.com,211-624-9811,Web Designer III,Human Resources,49080.74,8/28/2021,Male,"error: invalid date ""31/12/2010""",0 Cottonwood Drive,Amboasary,Madagascar,47,2
48,Morlee,Beldom,mbeldom1b@admin.ch,105-848-0029,Help Desk Operator,Human Resources,99892.42,1/9/2013,Male,"error: invalid date ""31/12/2010""",04 Glendale Road,Patulul,Guatemala,48,5
49,Kingston,Loidl,kloidl1c@printfriendly.com,471-839-3145,Electrical Engineer,Support,68666.45,7/28/2010,Male,"error: invalid date ""31/12/2010""",5 Corben Pass,Catanauan,Philippines,49,1
50,Jessie,Tumpane,jtumpane1d@ed.gov,843-270-5507,Environmental Specialist,Legal,91336.19,2/3/2022,Male,"error: invalid date ""31/12/2010""",239 Stephen Terrace,Yihe,China,50,5
51,Nisse,Elcocks,nelcocks1e@wunderground.com,353-329-2273,Web Designer I,Engineering,36800.6,7/27/2010,Female,"error: invalid date ""31/12/2010""",54 Bultman Pass,Santiago,Paraguay,51,1
52,Jaymee,Elgar,jelgar1f@wordpress.com,790-589-3073,Assistant Media Planner,Support,90790.25,6/23/2020,Female,"error: invalid date ""31/12/2010""",586 Parkside Way,Irkliyevskaya,Russia,52,4
