Username,Email,Id,First name,Last name,Active
blu3FisH,rachel@example.com,9012,Rachel,Booker,Yes
GreenFr0g,laura@yourcompany.com,2070,Laura,Grey,Yes
blackd0g,craig@yourcompany.com,4081,Craig,Johnson,No
jenkins46,mary@example.com,9346,Mary,Jenkins,Yes
smith79,jamie@example.com,5079,Jamie,Smith,Yes
john00,js@co.com, 303, John, Smith,No
BlackTurkey,jhalprin@example.com,304,Jim,Halprin,Yes
BlueHawk,tjones@example.com,305,Teresa,Jones,Yes
GreenTree,tomjones@example.com,306,Tommy,Jones,Yes
OrangeFish,greggjones@example.com,307,Gregg,Jones,Yes
RedBoat,dthompson@example.com,308,Daniel,Thompson,Yes
